"CRUISE","YEAR","HAULJOIN","CRUISEJOIN","SPECIES_CODE","FREQUENCY","LENGTH","SEX","REGION","PERFORMANCE","STRATUM"
199301,1993,784716,784787,30420,1,400,1,"GOA",0,130
199301,1993,784716,784787,30420,1,360,1,"GOA",0,130
199301,1993,784716,784787,30420,1,410,2,"GOA",0,130
199301,1993,784717,784788,30420,1,350,1,"GOA",0,133
199301,1993,784293,784786,30420,2,340,1,"GOA",0,130
199301,1993,784293,784786,30420,1,390,1,"GOA",0,130
199301,1993,784293,784786,30420,1,350,1,"GOA",0,130
199301,1993,784301,784786,30420,1,200,1,"GOA",0,22
199301,1993,784302,784786,30420,9,250,1,"GOA",6,22
199301,1993,784302,784786,30420,1,170,1,"GOA",6,22
199301,1993,784302,784786,30420,3,300,1,"GOA",6,22
199301,1993,784302,784786,30420,2,190,2,"GOA",6,22
199301,1993,784302,784786,30420,5,310,2,"GOA",6,22
199301,1993,784302,784786,30420,3,180,1,"GOA",6,22
199301,1993,784302,784786,30420,1,190,1,"GOA",6,22
199301,1993,784302,784786,30420,1,220,1,"GOA",6,22
199301,1993,784302,784786,30420,9,260,1,"GOA",6,22
199301,1993,784302,784786,30420,10,270,1,"GOA",6,22
199301,1993,784302,784786,30420,5,280,1,"GOA",6,22
199301,1993,784302,784786,30420,6,290,1,"GOA",6,22
199301,1993,784302,784786,30420,3,310,1,"GOA",6,22
199301,1993,784302,784786,30420,5,320,1,"GOA",6,22
199301,1993,784302,784786,30420,8,340,1,"GOA",6,22
199301,1993,784302,784786,30420,9,350,1,"GOA",6,22
199301,1993,784302,784786,30420,4,240,1,"GOA",6,22
199301,1993,784302,784786,30420,10,330,1,"GOA",6,22
199301,1993,784302,784786,30420,2,230,2,"GOA",6,22
199301,1993,784302,784786,30420,2,360,1,"GOA",6,22
199301,1993,784302,784786,30420,2,390,1,"GOA",6,22
199301,1993,784302,784786,30420,1,400,1,"GOA",6,22
199301,1993,784302,784786,30420,14,250,2,"GOA",6,22
199301,1993,784302,784786,30420,1,420,1,"GOA",6,22
199301,1993,784302,784786,30420,2,220,2,"GOA",6,22
199301,1993,784302,784786,30420,2,240,2,"GOA",6,22
199301,1993,784302,784786,30420,11,260,2,"GOA",6,22
199301,1993,784302,784786,30420,10,270,2,"GOA",6,22
199301,1993,784302,784786,30420,7,280,2,"GOA",6,22
199301,1993,784302,784786,30420,2,290,2,"GOA",6,22
199301,1993,784302,784786,30420,5,300,2,"GOA",6,22
199301,1993,784302,784786,30420,10,320,2,"GOA",6,22
199301,1993,784302,784786,30420,5,340,2,"GOA",6,22
199301,1993,784302,784786,30420,4,350,2,"GOA",6,22
199301,1993,784302,784786,30420,4,360,2,"GOA",6,22
199301,1993,784302,784786,30420,4,380,2,"GOA",6,22
199301,1993,784302,784786,30420,1,230,1,"GOA",6,22
199301,1993,784302,784786,30420,1,380,1,"GOA",6,22
199301,1993,784302,784786,30420,3,330,2,"GOA",6,22
199301,1993,784308,784786,30420,1,340,2,"GOA",0,121
199301,1993,784308,784786,30420,1,330,1,"GOA",0,121
199301,1993,784308,784786,30420,1,360,1,"GOA",0,121
199301,1993,784315,784786,30420,4,350,2,"GOA",0,122
199301,1993,784315,784786,30420,3,330,1,"GOA",0,122
199301,1993,784315,784786,30420,4,350,1,"GOA",0,122
199301,1993,784315,784786,30420,8,380,1,"GOA",0,122
199301,1993,784315,784786,30420,5,390,2,"GOA",0,122
199301,1993,784315,784786,30420,2,310,1,"GOA",0,122
199301,1993,784315,784786,30420,2,320,1,"GOA",0,122
199301,1993,784315,784786,30420,2,340,1,"GOA",0,122
199301,1993,784315,784786,30420,11,360,1,"GOA",0,122
199301,1993,784315,784786,30420,4,390,1,"GOA",0,122
199301,1993,784315,784786,30420,1,400,1,"GOA",0,122
199301,1993,784315,784786,30420,2,290,2,"GOA",0,122
199301,1993,784315,784786,30420,1,320,2,"GOA",0,122
199301,1993,784315,784786,30420,3,330,2,"GOA",0,122
199301,1993,784315,784786,30420,7,340,2,"GOA",0,122
199301,1993,784315,784786,30420,1,370,2,"GOA",0,122
199301,1993,784315,784786,30420,4,380,2,"GOA",0,122
199301,1993,784315,784786,30420,7,400,2,"GOA",0,122
199301,1993,784315,784786,30420,5,410,2,"GOA",0,122
199301,1993,784315,784786,30420,1,440,2,"GOA",0,122
199301,1993,784315,784786,30420,6,370,1,"GOA",0,122
199301,1993,784315,784786,30420,1,420,2,"GOA",0,122
199301,1993,784316,784786,30420,1,330,2,"GOA",0,122
199301,1993,784316,784786,30420,1,390,2,"GOA",0,122
199301,1993,784316,784786,30420,2,350,2,"GOA",0,122
199301,1993,784316,784786,30420,1,370,2,"GOA",0,122
199301,1993,784316,784786,30420,1,380,2,"GOA",0,122
199301,1993,784316,784786,30420,2,410,2,"GOA",0,122
199301,1993,784316,784786,30420,2,420,2,"GOA",0,122
199301,1993,784316,784786,30420,2,350,1,"GOA",0,122
199301,1993,784316,784786,30420,2,320,1,"GOA",0,122
199301,1993,784316,784786,30420,4,330,1,"GOA",0,122
199301,1993,784316,784786,30420,1,340,1,"GOA",0,122
199301,1993,784316,784786,30420,4,360,1,"GOA",0,122
199301,1993,784316,784786,30420,3,380,1,"GOA",0,122
199301,1993,784316,784786,30420,1,390,1,"GOA",0,122
199301,1993,784316,784786,30420,1,310,2,"GOA",0,122
199301,1993,784316,784786,30420,1,340,2,"GOA",0,122
199301,1993,784316,784786,30420,2,320,2,"GOA",0,122
199301,1993,784316,784786,30420,2,370,1,"GOA",0,122
199301,1993,784316,784786,30420,2,400,2,"GOA",0,122
199301,1993,784317,784786,30420,1,380,1,"GOA",0,231
199301,1993,784317,784786,30420,1,330,1,"GOA",0,231
199301,1993,784317,784786,30420,3,340,1,"GOA",0,231
199301,1993,784317,784786,30420,1,370,1,"GOA",0,231
199301,1993,784317,784786,30420,2,370,2,"GOA",0,231
199301,1993,784317,784786,30420,1,340,2,"GOA",0,231
199301,1993,784317,784786,30420,1,350,1,"GOA",0,231
199301,1993,784318,784786,30420,2,370,2,"GOA",0,231
199301,1993,784318,784786,30420,2,380,1,"GOA",0,231
199301,1993,784318,784786,30420,1,350,2,"GOA",0,231
199301,1993,784318,784786,30420,1,360,2,"GOA",0,231
199301,1993,784318,784786,30420,2,370,1,"GOA",0,231
199301,1993,784319,784786,30420,15,350,1,"GOA",0,134
199301,1993,784319,784786,30420,1,220,1,"GOA",0,134
199301,1993,784319,784786,30420,2,320,1,"GOA",0,134
199301,1993,784319,784786,30420,6,330,1,"GOA",0,134
199301,1993,784319,784786,30420,10,360,1,"GOA",0,134
199301,1993,784319,784786,30420,7,370,1,"GOA",0,134
199301,1993,784319,784786,30420,4,390,1,"GOA",0,134
199301,1993,784319,784786,30420,1,300,2,"GOA",0,134
199301,1993,784319,784786,30420,1,310,2,"GOA",0,134
199301,1993,784319,784786,30420,2,320,2,"GOA",0,134
199301,1993,784319,784786,30420,3,350,2,"GOA",0,134
199301,1993,784319,784786,30420,2,360,2,"GOA",0,134
199301,1993,784319,784786,30420,3,370,2,"GOA",0,134
199301,1993,784319,784786,30420,2,380,2,"GOA",0,134
199301,1993,784319,784786,30420,6,390,2,"GOA",0,134
199301,1993,784319,784786,30420,2,400,2,"GOA",0,134
199301,1993,784319,784786,30420,2,410,2,"GOA",0,134
199301,1993,784319,784786,30420,1,420,2,"GOA",0,134
199301,1993,784319,784786,30420,1,310,1,"GOA",0,134
199301,1993,784319,784786,30420,3,330,2,"GOA",0,134
199301,1993,784319,784786,30420,1,430,2,"GOA",0,134
199301,1993,784319,784786,30420,7,340,1,"GOA",0,134
199301,1993,784319,784786,30420,1,340,2,"GOA",0,134
199301,1993,784319,784786,30420,9,380,1,"GOA",0,134
199301,1993,784320,784786,30420,1,370,1,"GOA",0,31
199301,1993,784321,784786,30420,2,250,2,"GOA",0,31
199301,1993,784321,784786,30420,10,340,1,"GOA",0,31
199301,1993,784321,784786,30420,2,300,1,"GOA",0,31
199301,1993,784321,784786,30420,6,400,1,"GOA",0,31
199301,1993,784321,784786,30420,9,330,2,"GOA",0,31
199301,1993,784321,784786,30420,2,440,2,"GOA",0,31
199301,1993,784321,784786,30420,1,280,1,"GOA",0,31
199301,1993,784321,784786,30420,2,310,1,"GOA",0,31
199301,1993,784321,784786,30420,9,330,1,"GOA",0,31
199301,1993,784321,784786,30420,12,350,1,"GOA",0,31
199301,1993,784321,784786,30420,7,360,1,"GOA",0,31
199301,1993,784321,784786,30420,6,370,1,"GOA",0,31
199301,1993,784321,784786,30420,1,380,1,"GOA",0,31
199301,1993,784321,784786,30420,2,390,1,"GOA",0,31
199301,1993,784321,784786,30420,2,280,2,"GOA",0,31
199301,1993,784321,784786,30420,5,410,1,"GOA",0,31
199301,1993,784321,784786,30420,1,420,1,"GOA",0,31
199301,1993,784321,784786,30420,1,440,1,"GOA",0,31
199301,1993,784321,784786,30420,1,290,2,"GOA",0,31
199301,1993,784321,784786,30420,2,300,2,"GOA",0,31
199301,1993,784321,784786,30420,4,310,2,"GOA",0,31
199301,1993,784321,784786,30420,9,320,2,"GOA",0,31
199301,1993,784321,784786,30420,22,340,2,"GOA",0,31
199301,1993,784321,784786,30420,31,350,2,"GOA",0,31
199301,1993,784321,784786,30420,35,360,2,"GOA",0,31
199301,1993,784321,784786,30420,21,380,2,"GOA",0,31
199301,1993,784321,784786,30420,5,390,2,"GOA",0,31
199301,1993,784321,784786,30420,5,410,2,"GOA",0,31
199301,1993,784321,784786,30420,1,420,2,"GOA",0,31
199301,1993,784321,784786,30420,6,430,2,"GOA",0,31
199301,1993,784321,784786,30420,2,450,2,"GOA",0,31
199301,1993,784321,784786,30420,1,480,2,"GOA",0,31
199301,1993,784321,784786,30420,3,320,1,"GOA",0,31
199301,1993,784321,784786,30420,3,450,1,"GOA",0,31
199301,1993,784321,784786,30420,10,400,2,"GOA",0,31
199301,1993,784321,784786,30420,25,370,2,"GOA",0,31
199301,1993,784321,784786,30420,1,460,2,"GOA",0,31
199301,1993,784322,784786,30420,1,370,1,"GOA",0,130
199301,1993,784322,784786,30420,2,330,1,"GOA",0,130
199301,1993,784322,784786,30420,2,350,1,"GOA",0,130
199301,1993,784322,784786,30420,1,360,1,"GOA",0,130
199301,1993,784322,784786,30420,2,380,1,"GOA",0,130
199301,1993,784322,784786,30420,1,390,1,"GOA",0,130
199301,1993,784322,784786,30420,1,330,2,"GOA",0,130
199301,1993,784322,784786,30420,1,340,2,"GOA",0,130
199301,1993,784322,784786,30420,2,360,2,"GOA",0,130
199301,1993,784322,784786,30420,1,380,2,"GOA",0,130
199301,1993,784322,784786,30420,1,430,2,"GOA",0,130
199301,1993,784322,784786,30420,1,340,1,"GOA",0,130
199301,1993,784322,784786,30420,2,350,2,"GOA",0,130
199301,1993,784324,784786,30420,1,360,2,"GOA",0,31
199301,1993,784326,784786,30420,1,290,1,"GOA",0,134
199301,1993,784329,784786,30420,1,370,1,"GOA",0,134
199301,1993,784329,784786,30420,1,380,1,"GOA",0,134
199301,1993,784356,784786,30420,1,340,1,"GOA",0,132
199301,1993,784356,784786,30420,1,390,1,"GOA",0,132
199301,1993,784360,784786,30420,1,370,2,"GOA",6,132
198701,1987,33592,330,30420,10,330,1,"GOA",0,31
198701,1987,33592,330,30420,21,330,2,"GOA",0,31
198701,1987,33592,330,30420,4,290,1,"GOA",0,31
198701,1987,33592,330,30420,2,250,1,"GOA",0,31
198701,1987,33592,330,30420,1,260,1,"GOA",0,31
198701,1987,33592,330,30420,1,270,1,"GOA",0,31
198701,1987,33592,330,30420,4,300,1,"GOA",0,31
198701,1987,33592,330,30420,8,310,1,"GOA",0,31
198701,1987,33592,330,30420,10,340,1,"GOA",0,31
198701,1987,33592,330,30420,4,350,1,"GOA",0,31
198701,1987,33592,330,30420,2,370,1,"GOA",0,31
198701,1987,33592,330,30420,1,270,2,"GOA",0,31
198701,1987,33592,330,30420,1,280,2,"GOA",0,31
198701,1987,33592,330,30420,2,290,2,"GOA",0,31
198701,1987,33592,330,30420,4,300,2,"GOA",0,31
198701,1987,33592,330,30420,6,310,2,"GOA",0,31
198701,1987,33592,330,30420,12,320,2,"GOA",0,31
198701,1987,33592,330,30420,8,350,2,"GOA",0,31
198701,1987,33592,330,30420,8,360,2,"GOA",0,31
198701,1987,33592,330,30420,2,370,2,"GOA",0,31
198701,1987,33592,330,30420,2,380,2,"GOA",0,31
198701,1987,33592,330,30420,13,320,1,"GOA",0,31
198701,1987,33592,330,30420,11,340,2,"GOA",0,31
198701,1987,33593,330,30420,2,220,1,"GOA",6,31
198701,1987,33593,330,30420,2,180,1,"GOA",6,31
198701,1987,33593,330,30420,2,250,2,"GOA",6,31
198701,1987,33593,330,30420,17,340,2,"GOA",6,31
198701,1987,33593,330,30420,3,190,1,"GOA",6,31
198701,1987,33593,330,30420,2,210,1,"GOA",6,31
198701,1987,33593,330,30420,2,230,1,"GOA",6,31
198701,1987,33593,330,30420,1,240,1,"GOA",6,31
198701,1987,33593,330,30420,3,250,1,"GOA",6,31
198701,1987,33593,330,30420,4,260,1,"GOA",6,31
198701,1987,33593,330,30420,1,270,1,"GOA",6,31
198701,1987,33593,330,30420,5,290,1,"GOA",6,31
198701,1987,33593,330,30420,5,300,1,"GOA",6,31
198701,1987,33593,330,30420,3,310,1,"GOA",6,31
198701,1987,33593,330,30420,12,320,1,"GOA",6,31
198701,1987,33593,330,30420,9,330,1,"GOA",6,31
198701,1987,33593,330,30420,4,340,1,"GOA",6,31
198701,1987,33593,330,30420,2,350,1,"GOA",6,31
198701,1987,33593,330,30420,1,380,1,"GOA",6,31
198701,1987,33593,330,30420,2,190,2,"GOA",6,31
198701,1987,33593,330,30420,2,200,2,"GOA",6,31
198701,1987,33593,330,30420,2,220,2,"GOA",6,31
198701,1987,33593,330,30420,3,240,2,"GOA",6,31
198701,1987,33593,330,30420,1,260,2,"GOA",6,31
198701,1987,33593,330,30420,1,270,2,"GOA",6,31
198701,1987,33593,330,30420,5,280,2,"GOA",6,31
198701,1987,33593,330,30420,2,290,2,"GOA",6,31
198701,1987,33593,330,30420,5,300,2,"GOA",6,31
198701,1987,33593,330,30420,5,310,2,"GOA",6,31
198701,1987,33593,330,30420,13,320,2,"GOA",6,31
198701,1987,33593,330,30420,7,350,2,"GOA",6,31
198701,1987,33593,330,30420,8,360,2,"GOA",6,31
198701,1987,33593,330,30420,2,370,2,"GOA",6,31
198701,1987,33593,330,30420,3,200,1,"GOA",6,31
198701,1987,33593,330,30420,3,280,1,"GOA",6,31
198701,1987,33593,330,30420,2,210,2,"GOA",6,31
198701,1987,33593,330,30420,13,330,2,"GOA",6,31
198401,1984,32738,326,30420,1,200,1,"GOA",0,13
198401,1984,32738,326,30420,1,330,1,"GOA",0,13
198401,1984,32738,326,30420,2,270,1,"GOA",0,13
198401,1984,32738,326,30420,2,230,1,"GOA",0,13
198401,1984,32738,326,30420,6,240,1,"GOA",0,13
198401,1984,32738,326,30420,3,250,1,"GOA",0,13
198401,1984,32738,326,30420,2,260,1,"GOA",0,13
198401,1984,32738,326,30420,3,280,1,"GOA",0,13
198401,1984,32738,326,30420,1,290,1,"GOA",0,13
198401,1984,32738,326,30420,6,300,1,"GOA",0,13
198401,1984,32738,326,30420,1,310,1,"GOA",0,13
198401,1984,32738,326,30420,1,220,2,"GOA",0,13
198401,1984,32738,326,30420,2,240,2,"GOA",0,13
198401,1984,32738,326,30420,2,260,2,"GOA",0,13
198401,1984,32738,326,30420,2,270,2,"GOA",0,13
198401,1984,32738,326,30420,5,280,2,"GOA",0,13
198401,1984,32738,326,30420,2,290,2,"GOA",0,13
198401,1984,32738,326,30420,2,300,2,"GOA",0,13
198401,1984,32738,326,30420,1,320,2,"GOA",0,13
198401,1984,32738,326,30420,2,340,2,"GOA",0,13
198401,1984,32738,326,30420,1,350,2,"GOA",0,13
198401,1984,32738,326,30420,1,190,1,"GOA",0,13
198401,1984,32738,326,30420,1,230,2,"GOA",0,13
198401,1984,32738,326,30420,2,310,2,"GOA",0,13
198401,1984,32755,326,30420,3,340,1,"GOA",0,11
198401,1984,32755,326,30420,6,300,2,"GOA",0,11
198401,1984,32755,326,30420,3,360,1,"GOA",0,11
198401,1984,32755,326,30420,8,320,1,"GOA",0,11
198401,1984,32755,326,30420,2,330,1,"GOA",0,11
198401,1984,32755,326,30420,1,350,1,"GOA",0,11
198401,1984,32755,326,30420,1,380,1,"GOA",0,11
198401,1984,32755,326,30420,1,240,2,"GOA",0,11
198401,1984,32755,326,30420,1,260,2,"GOA",0,11
198401,1984,32755,326,30420,1,270,2,"GOA",0,11
198401,1984,32755,326,30420,3,280,2,"GOA",0,11
198401,1984,32755,326,30420,5,310,2,"GOA",0,11
198401,1984,32755,326,30420,2,320,2,"GOA",0,11
198401,1984,32755,326,30420,3,340,2,"GOA",0,11
198401,1984,32755,326,30420,1,360,2,"GOA",0,11
198401,1984,32755,326,30420,2,370,2,"GOA",0,11
198401,1984,32755,326,30420,1,390,2,"GOA",0,11
198401,1984,32755,326,30420,2,260,1,"GOA",0,11
198401,1984,32755,326,30420,1,220,1,"GOA",0,11
198401,1984,32755,326,30420,2,230,1,"GOA",0,11
198401,1984,32755,326,30420,1,250,1,"GOA",0,11
198401,1984,32755,326,30420,4,270,1,"GOA",0,11
198401,1984,32755,326,30420,8,280,1,"GOA",0,11
198401,1984,32755,326,30420,10,290,1,"GOA",0,11
198401,1984,32755,326,30420,5,310,1,"GOA",0,11
198401,1984,32755,326,30420,7,300,1,"GOA",0,11
198401,1984,32755,326,30420,1,290,2,"GOA",0,11
198701,1987,33860,330,30420,2,160,1,"GOA",0,13
198701,1987,33860,330,30420,12,220,1,"GOA",0,13
198701,1987,33860,330,30420,5,320,1,"GOA",0,13
198701,1987,33860,330,30420,7,210,2,"GOA",0,13
198701,1987,33860,330,30420,1,140,1,"GOA",0,13
198701,1987,33860,330,30420,1,150,1,"GOA",0,13
198701,1987,33860,330,30420,6,170,1,"GOA",0,13
198701,1987,33860,330,30420,16,180,1,"GOA",0,13
198701,1987,33860,330,30420,9,200,1,"GOA",0,13
198701,1987,33860,330,30420,21,210,1,"GOA",0,13
198701,1987,33860,330,30420,14,230,1,"GOA",0,13
198701,1987,33860,330,30420,11,240,1,"GOA",0,13
198701,1987,33860,330,30420,6,250,1,"GOA",0,13
198701,1987,33860,330,30420,5,260,1,"GOA",0,13
198701,1987,33860,330,30420,3,270,1,"GOA",0,13
198701,1987,33860,330,30420,5,280,1,"GOA",0,13
198701,1987,33860,330,30420,5,290,1,"GOA",0,13
198701,1987,33860,330,30420,3,300,1,"GOA",0,13
198701,1987,33860,330,30420,1,330,1,"GOA",0,13
198701,1987,33860,330,30420,1,350,1,"GOA",0,13
198701,1987,33860,330,30420,2,150,2,"GOA",0,13
198701,1987,33860,330,30420,2,160,2,"GOA",0,13
198701,1987,33860,330,30420,2,170,2,"GOA",0,13
198701,1987,33860,330,30420,4,180,2,"GOA",0,13
198701,1987,33860,330,30420,5,190,2,"GOA",0,13
198701,1987,33860,330,30420,9,200,2,"GOA",0,13
198701,1987,33860,330,30420,10,220,2,"GOA",0,13
198701,1987,33860,330,30420,5,240,2,"GOA",0,13
198701,1987,33860,330,30420,3,280,2,"GOA",0,13
198701,1987,33860,330,30420,7,250,2,"GOA",0,13
198701,1987,33860,330,30420,8,260,2,"GOA",0,13
198701,1987,33860,330,30420,2,270,2,"GOA",0,13
198701,1987,33860,330,30420,5,290,2,"GOA",0,13
198701,1987,33860,330,30420,3,300,2,"GOA",0,13
198701,1987,33860,330,30420,1,330,2,"GOA",0,13
198701,1987,33860,330,30420,9,190,1,"GOA",0,13
198701,1987,33860,330,30420,1,310,1,"GOA",0,13
198701,1987,33860,330,30420,7,230,2,"GOA",0,13
198701,1987,33860,330,30420,3,320,2,"GOA",0,13
198701,1987,33863,330,30420,1,240,1,"GOA",6,13
198701,1987,33863,330,30420,2,340,1,"GOA",6,13
198701,1987,33863,330,30420,3,240,2,"GOA",6,13
198701,1987,33863,330,30420,3,220,1,"GOA",6,13
198701,1987,33863,330,30420,5,150,1,"GOA",6,13
198701,1987,33863,330,30420,4,160,1,"GOA",6,13
198701,1987,33863,330,30420,3,210,1,"GOA",6,13
198701,1987,33863,330,30420,4,250,1,"GOA",6,13
198701,1987,33863,330,30420,5,260,1,"GOA",6,13
198701,1987,33863,330,30420,4,270,1,"GOA",6,13
198701,1987,33863,330,30420,6,280,1,"GOA",6,13
198701,1987,33863,330,30420,3,290,1,"GOA",6,13
198701,1987,33863,330,30420,2,300,1,"GOA",6,13
198701,1987,33863,330,30420,8,310,1,"GOA",6,13
198701,1987,33863,330,30420,10,320,1,"GOA",6,13
198701,1987,33863,330,30420,2,360,1,"GOA",6,13
198701,1987,33863,330,30420,4,160,2,"GOA",6,13
198701,1987,33863,330,30420,2,170,2,"GOA",6,13
198701,1987,33863,330,30420,1,180,2,"GOA",6,13
198701,1987,33863,330,30420,2,200,2,"GOA",6,13
198701,1987,33863,330,30420,2,210,2,"GOA",6,13
198701,1987,33863,330,30420,1,220,2,"GOA",6,13
198701,1987,33863,330,30420,2,230,2,"GOA",6,13
198701,1987,33863,330,30420,2,250,2,"GOA",6,13
198701,1987,33863,330,30420,3,270,2,"GOA",6,13
198701,1987,33863,330,30420,3,280,2,"GOA",6,13
198701,1987,33863,330,30420,5,290,2,"GOA",6,13
198701,1987,33863,330,30420,6,300,2,"GOA",6,13
198701,1987,33863,330,30420,3,310,2,"GOA",6,13
198701,1987,33863,330,30420,5,320,2,"GOA",6,13
198701,1987,33863,330,30420,2,340,2,"GOA",6,13
198701,1987,33863,330,30420,1,350,2,"GOA",6,13
198701,1987,33863,330,30420,1,370,2,"GOA",6,13
198701,1987,33863,330,30420,2,170,1,"GOA",6,13
198701,1987,33863,330,30420,4,330,1,"GOA",6,13
198701,1987,33863,330,30420,2,260,2,"GOA",6,13
198701,1987,33863,330,30420,1,330,2,"GOA",6,13
198701,1987,33867,330,30420,35,310,1,"GOA",6,13
198701,1987,33867,330,30420,3,230,2,"GOA",6,13
198701,1987,33867,330,30420,14,330,2,"GOA",6,13
198701,1987,33867,330,30420,1,230,1,"GOA",6,13
198701,1987,33867,330,30420,2,170,1,"GOA",6,13
198701,1987,33867,330,30420,1,190,1,"GOA",6,13
198701,1987,33867,330,30420,5,200,1,"GOA",6,13
198701,1987,33867,330,30420,6,210,1,"GOA",6,13
198701,1987,33867,330,30420,3,220,1,"GOA",6,13
198701,1987,33867,330,30420,6,240,1,"GOA",6,13
198701,1987,33867,330,30420,7,250,1,"GOA",6,13
198701,1987,33867,330,30420,8,260,1,"GOA",6,13
198701,1987,33867,330,30420,10,270,1,"GOA",6,13
198701,1987,33867,330,30420,17,290,1,"GOA",6,13
198701,1987,33867,330,30420,32,300,1,"GOA",6,13
198701,1987,33867,330,30420,29,320,1,"GOA",6,13
198701,1987,33867,330,30420,25,330,1,"GOA",6,13
198701,1987,33867,330,30420,18,340,1,"GOA",6,13
198701,1987,33867,330,30420,7,350,1,"GOA",6,13
198701,1987,33867,330,30420,4,360,1,"GOA",6,13
198701,1987,33867,330,30420,1,200,2,"GOA",6,13
198701,1987,33867,330,30420,2,210,2,"GOA",6,13
198701,1987,33867,330,30420,4,240,2,"GOA",6,13
198701,1987,33867,330,30420,1,250,2,"GOA",6,13
198701,1987,33867,330,30420,5,260,2,"GOA",6,13
198701,1987,33867,330,30420,7,270,2,"GOA",6,13
198701,1987,33867,330,30420,8,280,2,"GOA",6,13
198701,1987,33867,330,30420,11,290,2,"GOA",6,13
198701,1987,33867,330,30420,18,300,2,"GOA",6,13
198701,1987,33867,330,30420,15,310,2,"GOA",6,13
198701,1987,33867,330,30420,21,320,2,"GOA",6,13
198701,1987,33867,330,30420,16,340,2,"GOA",6,13
198701,1987,33867,330,30420,6,360,2,"GOA",6,13
198701,1987,33867,330,30420,1,370,2,"GOA",6,13
198701,1987,33867,330,30420,1,380,2,"GOA",6,13
198701,1987,33867,330,30420,1,390,2,"GOA",6,13
198701,1987,33867,330,30420,1,160,1,"GOA",6,13
198701,1987,33867,330,30420,14,280,1,"GOA",6,13
198701,1987,33867,330,30420,3,220,2,"GOA",6,13
198701,1987,33867,330,30420,8,350,2,"GOA",6,13
198701,1987,33875,330,30420,2,220,1,"GOA",0,13
198701,1987,33875,330,30420,3,260,2,"GOA",0,13
198701,1987,33875,330,30420,2,350,2,"GOA",0,13
198701,1987,33875,330,30420,2,170,1,"GOA",0,13
198701,1987,33875,330,30420,1,180,1,"GOA",0,13
198701,1987,33875,330,30420,2,190,1,"GOA",0,13
198701,1987,33875,330,30420,5,200,1,"GOA",0,13
198701,1987,33875,330,30420,2,210,1,"GOA",0,13
198701,1987,33875,330,30420,2,230,1,"GOA",0,13
198701,1987,33875,330,30420,7,250,1,"GOA",0,13
198701,1987,33875,330,30420,7,260,1,"GOA",0,13
198701,1987,33875,330,30420,10,270,1,"GOA",0,13
198701,1987,33875,330,30420,18,320,1,"GOA",0,13
198701,1987,33875,330,30420,13,280,1,"GOA",0,13
