0 0 0 0.00126742712294043 0.00253485424588086 0.0101394169835234 0.00253485424588086 0.0101394169835234 0.00887198986058302 0.0114068441064639 0.0405576679340938 0.0659062103929024 0.0494296577946768 0.0773130544993663 0.0899873257287706 0.0608365019011407 0.0709759188846641 0.0659062103929024 0.0608365019011407 0.0253485424588086 0.0215462610899873 0.0152091254752852 0.0278833967046895 0.0114068441064639 0.026615969581749 0.026615969581749 0.0215462610899873 0.0101394169835234 0.0316856780735108 0.017743979721166 0.0126742712294043 0.017743979721166 0.00760456273764259 0.0114068441064639 0.0139416983523447 0.0126742712294043 0.0101394169835234 0.00887198986058302 0.0114068441064639 0.00253485424588086 0.00506970849176172 0.00253485424588086 0.00380228136882129 0.0152091254752852
0 0 0 0 0 0.00163934426229508 0.0344262295081967 0.0213114754098361 0.0180327868852459 0.019672131147541 0.00983606557377049 0.0114754098360656 0.0278688524590164 0.0622950819672131 0.0508196721311475 0.0754098360655738 0.0868852459016393 0.059016393442623 0.0672131147540984 0.0967213114754098 0.0704918032786885 0.0278688524590164 0.0213114754098361 0.0295081967213115 0.0131147540983607 0.0163934426229508 0.00655737704918033 0.00819672131147541 0.0163934426229508 0.0147540983606557 0.0213114754098361 0.0147540983606557 0.00819672131147541 0.00983606557377049 0.00327868852459016 0.00491803278688525 0.00819672131147541 0.00819672131147541 0.00819672131147541 0.0114754098360656 0.00327868852459016 0.00819672131147541 0.00491803278688525 0.0180327868852459
0 0 0.00153846153846154 0 0.00153846153846154 0.00461538461538462 0.0215384615384615 0.0153846153846154 0.0338461538461538 0.0446153846153846 0.04 0.0307692307692308 0.0230769230769231 0.0323076923076923 0.0384615384615385 0.0353846153846154 0.0630769230769231 0.0615384615384615 0.0569230769230769 0.0415384615384615 0.0615384615384615 0.0446153846153846 0.0323076923076923 0.0215384615384615 0.0215384615384615 0.0261538461538462 0.0153846153846154 0.02 0.0353846153846154 0.0261538461538462 0.02 0.0246153846153846 0.0184615384615385 0.0123076923076923 0.0107692307692308 0.0107692307692308 0.00769230769230769 0.00615384615384615 0.00461538461538462 0.00307692307692308 0.00615384615384615 0.00769230769230769 0.00153846153846154 0.0153846153846154
#-


#==========================================================================================================================
# Trawl Survey Age Composition
#==========================================================================================================================
#! Number of years: nyrs_srv1_age
15
#- Trawl Survey age comp years: yrs_srv1_age #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017
#- Number of samples: nsamples_srv1_age(1,nyrs_srv1_age) #!
356 497 331 242 462 278 466 216 417 605 651 430 495 465 462
#- Number of hauls: nhauls_srv1_age(1,nyrs_srv1_age) #!
6 17 12 17 19 27 85 22 72 82 69 74 68 56 80
#- Index for age-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed trawl survey age compositions (proportions at age): oac_srv1(1,nyrs_srv1_age,1,nages) #!
0 0.00332443182055865 0.0178535600937394 0.0551516277704184 0.0405003992625233 0.0296327693189009 0.00283275741086784 0.0288123060519063 0.101090766888825 0.112118961220413 0.111594540401589 0.0343570110343435 0.04279465702847 0.0140303392877957 0.0366365922592094 0.103148403722588 0.0408810496402312 0.0798109420243541 0.0272193535331764 0.0255253210692043 0.00695959283257317 0.00651068925777247 0.00291551566738682 0.00391492697964237 0.0173994056903557 0.0258191723373225 0.0120292307924751 0.00309212967285657 0.00229767278862026 0.00523051701616628 0 0.0019731921331333 0.00310248223653678 0.000241819501868237 0 0 0 0 0 0 0.00109295560037146 0 0.000104907653804778 0
0 0.000646639698571586 0.00189303288342615 0.0291218726312768 0.0541582286856607 0.0265292201926658 0.0407575848398282 0.0538051177674314 0.0446808473698773 0.0577165545655996 0.0351817351868877 0.0536349497936389 0.0824239068098461 0.0970959231191055 0.0508498557969733 0.0507551946365928 0.00671449038584897 0.011214248574 0.0655715775855086 0.0663047073123443 0.0457546983866305 0.019160239372388 0.00894479281481511 0.00972657213418778 0.0336639661641755 0.0063665583128982 0.0116854832728778 0.0018346449154862 0.00976409536387883 0.00956794804007107 0.00904399644545539 0.00543131694205198 0 0 0 0 0 0 0 0 0 0 0 0
0.0003280889608135 0.00276567010908615 0.00306053655808724 0.00853558162937454 0.0107702213153317 0.0109515927876337 0.0637708624888296 0.12015659115334 0.0654820871630956 0.103069616463713 0.0444548102218844 0.0488962854372386 0.0401032806599058 0.0243465600680169 0.0518695509162888 0.0313112015656204 0.0395966538896535 0.028036167505921 0.00401467406211161 0.0231859545251185 0.0340314206326973 0.0444404430533566 0.0444733872259729 0.0463728388827925 0.0068629724199681 0.0167801271663676 0.02221364868941 0.00569755967216616 0 0.00243669495771566 0.00950429052730355 0.00535193940129672 0.00562829478472503 0.00557103776128984 0.00936881378507631 0.00123460561164164 0 0.013758766545368 0.00156717140178709 0 0 0 0 0
0.00253678705607085 0.0024760999936738 0.00129645843333912 0.00211392313664744 0.0111971656035572 0.00573187231210644 0.0206684124424242 0.0410695392251447 0.053119759704439 0.085268813533657 0.0758639847450022 0.0773004138972678 0.0402733494621783 0.0329026402047283 0.0387662665307579 0.0165232669819813 0.0340966233356105 0.0544657648520156 0.0878763148813223 0.0277009371198313 0.0306749364110327 0.0302690433813091 0.0333612746610264 0.0268704126606804 0.052230452029073 0.0136173912355286 0.0147372712172766 0.0275356085932535 0.00566995805855433 0.00748754291665076 0.0042247697103256 0.0145182378928662 0.00747125259004151 0.00475580971838929 0 0.00657019194874781 0 0.00170914556089505 0 0 0.00294828931762442 0.00410001864496951 0 0
0 0.000126128857598289 0.00157561814229826 0.0105398570703658 0.00271016130977869 0.00944403440807383 0.00894192914381073 0.0423061499014744 0.027674003561596 0.0792507162599759 0.0691742194973537 0.0542263139884394 0.0561767014961534 0.0782321497764821 0.091579142495054 0.0156440982877353 0.0720918187975621 0.0187834827572601 0.0130075281160135 0.0300184262126121 0.0219380310311372 0.0250813070755027 0.0302587711176519 0.0196249740195543 0.0149974209487645 0.0335036855603975 0.0247952822767235 0.0240075293463443 0.0164998767870566 0.0238771694193671 0.0454281965322256 0.0100516654140015 0.0083139462018907 0 0.00293493748074075 0 0 0.0124416902178028 0.00178881008380005 0.00295422640740117 0 0 0 0
0.000116125898869801 0.00502758901353051 0.002541630035474 0.00551430129910721 0.0130815379531471 0.0405483878402524 0.0156682496431776 0.0384303544557851 0.072486404274763 0.0605125680291838 0.0398474146340292 0.0627482301438143 0.0488976917491136 0.0502188224386585 0.0539184941844855 0.0445200267896773 0.0581509329724548 0.0287517613943363 0.022125337585191 0.016520431332239 0.0115770274504849 0.0265689429769179 0.0448128712427055 0.0287274862141891 0.0424106569062832 0.0122283287704887 0.00901265314583247 0.0241658822169266 0.0206448469553862 0.0136845401607865 0.018888576205153 0.0108443436310189 0.0079706226151585 0.0166566583285171 0.00380080719488187 0.000206152304594005 0 0.00174730940617153 0.0104881179130059 0.00907700378100902 0 0 0 0.00686088091319935
0 0.000604205089278945 0.00145825686296613 0.0347239937604369 0.0209755397470543 0.0144324041825101 0.0963405136582955 0.126206212960436 0.0564271965349547 0.0360285208426673 0.02914283415972 0.021323240209694 0.0513724654334345 0.0332860856677241 0.0427464477177919 0 0.0175911000158099 0.0296337527629886 0.0610910583676149 0.0118984707213001 0.0205300956813835 0.0106341194726693 0.00657100869346593 0.0135045848939562 0.0252646702692758 0.0299268700347272 0.0538715021785254 0.034537933141683 0.0156448202686762 0 0 0.0414939335097467 0.0099181248926465 0.0122545175816553 0.00691840401654199 0.0189347510204684 0 0.00328993075179214 0.0114224348981085 0 0 0 0 0
0 0.000137081726248037 0.00108966744072722 0.0014087356160867 0.0143527298518134 0.037036948679556 0.051915537722338 0.0466542814492499 0.0610930668198531 0.046550747382656 0.0332724423774292 0.0110565240123488 0.0208814102582638 0.0118745392418959 0.019687966124784 0.0321029918425712 0.0305922859249065 0.008086096843944 0.0387183201106002 0.0463928856956585 0.0185926794762157 0.0124565746985445 0.0116614101429171 0.0212241190744395 0.0252187242064422 0.0216711501586033 0.0373659657488267 0.0357838337306408 0.0383384112659306 0.0231060742366683 0.0397639022613914 0.0182454386406917 0.0464375399674836 0.0272032222538126 0.024050317000843 0.0113949098138472 0.0051172561256413 0.010857887916949 0.0111812118823869 0.0043975968018858 0 0.00405370838447804 0.0132291189398624 0.0257446881505677
0.000133891626359793 0 2.16791370144064e-05 0.000831567912212331 0.00675236265080352 0.00365364308851584 0.0286293330577544 0.0906820600618225 0.0575365496327032 0.0742865992661907 0.063397011969979 0.0828299202203962 0.0310100791383795 0.0174978363456003 0.0260439111854618 0.0202096361080369 0.0102908253413307 0.0200556521317635 0.0278297345184718 0.0327737738080192 0.037943206128803 0.0489956711848809 0.0109629366272729 0.0115505996825295 0.0138415910130438 0.0267109916920263 0.0282424983431372 0.0297872281264477 0.0333067287884076 0.024349780988618 0.015730653512002 0.0101318666831871 0.0194863789733472 0.0144465798102101 0.0232997624513529 0.00863464101593051 0.0135043423657271 0.00483241173429338 0.00964356952202636 0.0036119960993687 0.0013838207778221 0.00219394207390556 0.00295826378877566 0.00998447141606863
0 0 0.000358836695190479 0.00269388367729502 0.000201367880385952 0.00686492721474049 0.0152089949931667 0.022398540189872 0.0505600635676751 0.0706407421493527 0.0530476063650734 0.0595909910850011 0.0624660977816716 0.037948225293065 0.0337723114105603 0.0205678096660615 0.033494793433551 0.0325085125538312 0.0274242720109069 0.0161745514128273 0.00987772284418893 0.0273059608898195 0.0409003242827907 0.0458758347327279 0.0264808968496721 0.0169174190138121 0.0141114047243304 0.030140949938743 0.0134756238577732 0.0116035818198688 0.0246220861025863 0.0222020082076393 0.0105032166447262 0.0121607402836705 0.0211346628871914 0.0194091312946308 0.0279755025520246 0.0131734808373089 0.0102855882512113 0.00813247937939602 0.00654730045421823 0.00541397165492025 0.00686061222505168 0.0289669728914701
0 0 0.00139522510885727 0.000119610614338889 0.000119610614338889 0.000254261181471833 0.00190936579887658 0.00314145672151344 0.0149470508549165 0.0191096172750336 0.0225775320704753 0.0401880491095498 0.039274966761807 0.0208196160826914 0.0290940135377598 0.0593044470410609 0.0166904764586021 0.0164080625373901 0.0234679226941536 0.0220553025515597 0.0288959999013044 0.0210762769722514 0.039385079205502 0.0310953902329556 0.0146638535161236 0.0467527977875234 0.0340414184410877 0.0179257328116628 0.0267762282483054 0.0232022988250268 0.0219911006266873 0.0246351891768872 0.0302018827044567 0.0522850191300375 0.0357021219610794 0.0351465391168155 0.0391139361954256 0.0166887674662614 0.0192085398025576 0.0304112030179089 0.0281491667707765 0.0143144764094066 0.00794303274135352 0.0295173619242062
0 0 0 0.000137014155065544 0.001124085137884 0.0044159988840338 0.00350530148827783 0.00165315185044271 0.00609013962068855 0.0231233079137536 0.0276798239569635 0.0321181454415913 0.0379744907269872 0.0518205452165402 0.0696676318024421 0.0444160915862704 0.0703222135144231 0.0311634991905057 0.0365563306255485 0.0129458162028862 0.0227958358191633 0.0294605768137149 0.0330277307783695 0.0296935473856298 0.0112114327971285 0.0327176942550086 0.0321498749376272 0.035429313242057 0.015121382983803 0.037461644061034 0.00208628029993445 0.0138526776358058 0.0238534633710892 0.00879788657129776 0.031006548140373 0.0356694270007331 0.0169647290234837 0.0194804528146362 0.0118514622113535 0.0176507771593027 0.0231305685393892 0.00681738489369171 0.00271677960017703 0.0523389423508925
0 0 0 6.77976863205803e-05 0.00096761380426999 0.00584884929879617 0.00577184995597819 0.0055886374894766 0.0230959366077911 0.0107785405824671 0.00701612384849811 0.0120188245604526 0.019588113615141 0.0502325932204142 0.054657190213393 0.0727454504188957 0.0552174892000772 0.0299183706750009 0.04495497659704 0.0662444398878489 0.0221630588828415 0.0271675084693054 0.0138790475622928 0.0253846862753008 0.0200269884197675 0.0234009880438934 0.0240489284889369 0.0171720972855665 0.0266675706844093 0.0214485819525736 0.0289154710071701 0.0253434070666806 0.0140395015259769 0.0204819153176554 0.0177323722971362 0.0349792169032008 0.0103129292087649 0.019917601751992 0.0350650437622385 0.017981440444915 0.0117481910796521 0.00929476974091081 0.0157727478334511 0.0523431383335066
0 0.000125388759857894 0.000438809053526723 0.00109367512617971 0.00161120737575177 0.00226931516379124 0.009363759544703 0.00751681285997433 0.0027978638557199 0.0145676606668176 0.0151288961730536 0.0106179525800871 0.010604620402824 0.0141798029424702 0.0298092004696067 0.0427059128967973 0.0382663469519761 0.0372339445565181 0.0400359176326306 0.0562602535714394 0.0398142357221106 0.0442467327718847 0.0136660538284232 0.0225372008080349 0.0139785544528827 0.0267661889072721 0.0261580956402788 0.0255809773705054 0.0130319005611132 0.0137195747156872 0.0458877453747484 0.0335311174251839 0.0205143461576324 0.041345570260428 0.0347161501564398 0.025715192128371 0.0246909532533809 0.0300228102663663 0.0302885840348824 0.0172795138386109 0.0106906512486222 0.0129716870626068 0.0300551746862584 0.0681636487445506
0 0.00039236403143359 0 0.00295564470332574 0.00174391591930417 0.00433252862868552 0.00980010141713686 0.0198310375346196 0.0382328782677569 0.0137503560873706 0.0230841634179222 0.0247641826442545 0.00891255248152688 0.0125635658426406 0.0254484603336645 0.0319899363902454 0.043250332866271 0.0456104908568933 0.0392647558355796 0.0788547290257606 0.0317736230572742 0.0463195560393499 0.0497468217001148 0.0376751275851031 0.0239189169031309 0.0123583901791448 0.0152503608189601 0.0157261498132054 0.00545323638835587 0.0150294909342405 0.0263663379304899 0.0267208100144672 0.0177225325056583 0.0279724844968354 0.00655734368251164 0.00973925222540195 0.0295558327819037 0.0117070958814072 0.0237053210238704 0.0212693906228562 0.0108931617306957 0.015786630136495 0.021554010370332 0.0724161268938041
#-


#==========================================================================================================================
# Fishery Size Composition
#==========================================================================================================================
#! Number of years: nyrs_fish_size
14
#- Fishery size comp years: yrs_fish_size #!
1991 1992 1993 1994 1995 1996 1997 2003 2007 2009 2011 2013 2015 2017
#- Number of samples: nsamples_fish_size(1,nyrs_fish_size) #!
15321 15207 10732 8138 11537 7942 5261 6025 7101 6045 5121 6418 7176 3529
#- Number of hauls: nhauls_fish_size(1,nyrs_fish_size) #!
147 125 94 90 121 108 73 374 489 456 403 500 554 378
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed fishery size compositions (proportions at length): osc_fish(1,nyrs_fish_size,1,nlenbins) #!
0 0 0 0 0 0 0 0 0 0 6.57591898467811e-05 0.000197277569540343 0.000263036759387124 0.00111790622739528 0.00282764516341159 0.00631288222529098 0.0149930952850661 0.0320904846452292 0.0526731110672716 0.0937726047215098 0.139080686525942 0.156769908594726 0.154205300190702 0.345630301834681
0 0 0 9.3179276928811e-05 0 0 0 0 0 9.3179276928811e-05 0.000372717107715244 0.00093179276928811 0.00102497204621692 0.00214312336936265 0.00531121878494223 0.0104360790160268 0.023667536339918 0.0459373835259038 0.0790160268356318 0.108647036898994 0.156261647409616 0.165765933656355 0.127376071561685 0.272922102124488
0 0 0 0 0 0 0 0.000122880314573605 0 0 0 0.000122880314573605 0.000614401572868027 0.00172032440403047 0.00356352912263455 0.0070041779306955 0.0165888424674367 0.0302285573851069 0.0697960186778078 0.116244777586631 0.174612927009093 0.199434750552961 0.170926517571885 0.209019415089703
8.66776458351391e-05 0 0 8.66776458351391e-05 0 0.000173355291670278 8.66776458351391e-05 0.000433388229175696 0.000693421166681113 0.00208026350004334 0.00424720464592182 0.00684753402097599 0.00918783045852475 0.0079743434168328 0.0102279622085464 0.0128282915836006 0.0152552656669845 0.0213227008754442 0.0432521452717344 0.0807835659183497 0.127416139377655 0.156366473086591 0.164340816503424 0.33630926584034
0 0 0 0 0 0 0 0 0 0.00025182573659028 0.00025182573659028 0 0.00113321581465626 0.00163686728783682 0.00277008310249307 0.00667338201964241 0.00616973054646185 0.0132208511709897 0.0280785696298162 0.0582976580206497 0.12200956937799 0.176907579954671 0.1891211281793 0.393477713422312
0 0 0 0 0 0 0 0 0 0.0015206234556168 0.00646264968637141 0.0138756890325033 0.0201482607869226 0.0210986504466831 0.0210986504466831 0.0191978711271621 0.0144459228283596 0.0150161566242159 0.0290819235886714 0.0541722106063486 0.114807070899069 0.159095229043908 0.173351073940316 0.33662801748717
0 0 0 0 0 0 0 0.00016597510373444 0 0.000497925311203319 0.000829875518672199 0.00132780082987552 0.00215767634854772 0.0024896265560166 0.00680497925311203 0.0116182572614108 0.0305394190871369 0.0453112033195021 0.0705394190871369 0.0748547717842324 0.084149377593361 0.0751867219917012 0.0833195020746888 0.510207468879668
0 0 0 0 0 0 0 0 0.00014082523588227 0.00014082523588227 0.00028165047176454 0.00042247570764681 0.00126742712294043 0.00168990283058724 0.00239402900999859 0.00732291226587805 0.00887198986058302 0.0233769891564568 0.0383044641599775 0.0597099000140825 0.0851992677087734 0.104773975496409 0.124207858048162 0.541895507674975
0 0 0 0 0 0 0 0 0 0 0.000165425971877585 0.00033085194375517 0.000827129859387924 0.000661703887510339 0.000661703887510339 0.0043010752688172 0.00860215053763441 0.0104218362282878 0.0198511166253102 0.0383788254755997 0.0767576509511993 0.0982630272952854 0.110504549214227 0.630272952853598
