"","YEAR","FMP_AREA","SPECIES","LENGTH","WEIGHT","AGE","PERFORMANCE"
"87",1992,"GOA",303,35,0.6,NA,1
"88",1992,"GOA",303,35,0.6,NA,1
"89",1992,"GOA",303,35,0.6,NA,1
"90",1992,"GOA",303,35,0.65,NA,1
"91",1992,"GOA",303,36,0.65,NA,1
"92",1992,"GOA",303,36,0.7,NA,1
"93",1992,"GOA",303,37,0.75,NA,4
"94",1992,"GOA",303,37,0.8,NA,4
"95",1992,"GOA",303,37,0.8,NA,4
"96",1992,"GOA",303,41,0.95,NA,4
"97",1992,"GOA",303,41,1,NA,4
"98",1992,"GOA",303,41,1,NA,4
"99",1992,"GOA",303,38,0.7,NA,1
"100",1992,"GOA",303,38,0.7,NA,1
"101",1992,"GOA",303,38,0.7,NA,1
"102",1992,"GOA",303,38,0.8,NA,1
"103",1992,"GOA",303,40,0.8,NA,1
"104",1992,"GOA",303,41,0.85,NA,1
"105",1992,"GOA",303,45,1.1,NA,1
"106",1992,"GOA",303,45,1.1,NA,1
"107",1992,"GOA",303,32,0.55,NA,1
"108",1992,"GOA",303,33,0.6,NA,1
"109",1992,"GOA",303,35,0.6,NA,1
"110",1992,"GOA",303,35,0.65,NA,1
"111",1992,"GOA",303,36,0.6,NA,1
"112",1992,"GOA",303,36,0.65,NA,1
"113",1992,"GOA",303,37,0.7,NA,1
"114",1992,"GOA",303,37,0.75,NA,1
"115",1992,"GOA",303,38,0.75,NA,1
"116",1992,"GOA",303,38,0.8,NA,1
"117",1992,"GOA",303,38,0.85,NA,1
"118",1992,"GOA",303,39,0.8,NA,1
"119",1992,"GOA",303,39,0.8,NA,1
"120",1992,"GOA",303,33,0.55,NA,1
"121",1992,"GOA",303,36,0.65,NA,1
"122",1992,"GOA",303,36,0.7,NA,1
"123",1992,"GOA",303,36,0.7,NA,1
"124",1992,"GOA",303,36,0.7,NA,1
"125",1992,"GOA",303,37,0.75,NA,1
"126",1992,"GOA",303,40,0.9,NA,1
"127",1992,"GOA",303,40,1,NA,1
"128",1992,"GOA",303,41,1,NA,1
"129",1992,"GOA",303,42,1.05,NA,1
"130",1992,"GOA",303,36,0.65,NA,1
"131",1992,"GOA",303,39,0.8,NA,1
"132",1992,"GOA",303,33,0.5,NA,1
"133",1992,"GOA",303,33,0.5,NA,1
"134",1992,"GOA",303,35,0.6,NA,1
"135",1992,"GOA",303,36,0.7,NA,1
"136",1992,"GOA",303,37,0.65,NA,1
"137",1992,"GOA",303,37,0.7,NA,1
"138",1992,"GOA",303,38,0.7,NA,1
"139",1992,"GOA",303,38,0.75,NA,1
"140",1992,"GOA",303,38,0.8,NA,1
"141",1992,"GOA",303,39,0.75,NA,1
"142",1992,"GOA",303,39,0.8,NA,1
"143",1992,"GOA",303,39,0.8,NA,1
"144",1992,"GOA",303,39,0.85,NA,1
"145",1992,"GOA",303,39,0.85,NA,1
"146",1992,"GOA",303,39,0.95,NA,1
"147",1992,"GOA",303,40,0.9,NA,1
"148",1992,"GOA",303,40,0.9,NA,1
"149",1992,"GOA",303,40,0.95,NA,1
"150",1992,"GOA",303,41,0.9,NA,1
"151",1992,"GOA",303,41,0.95,NA,1
"152",1992,"GOA",303,34,0.55,NA,4
"153",1992,"GOA",303,34,0.65,NA,4
"154",1992,"GOA",303,37,0.65,NA,4
"155",1992,"GOA",303,37,0.75,NA,4
"156",1992,"GOA",303,39,0.85,NA,1
"157",1992,"GOA",303,40,0.85,NA,1
"158",1992,"GOA",303,40,0.9,NA,1
"159",1992,"GOA",303,40,0.9,NA,1
"160",1992,"GOA",303,40,0.9,NA,1
"161",1992,"GOA",303,41,1,NA,1
"162",1992,"GOA",303,42,1,NA,1
"163",1992,"GOA",303,37,0.7,NA,1
"164",1992,"GOA",303,37,0.7,NA,1
"165",1992,"GOA",303,37,0.78,NA,1
"166",1992,"GOA",303,38,0.75,NA,1
"167",1992,"GOA",303,33,0.45,NA,1
"168",1992,"GOA",303,33,0.49,NA,1
"169",1992,"GOA",303,33,0.5,NA,1
"170",1992,"GOA",303,34,0.54,NA,1
"171",1992,"GOA",303,34,0.55,NA,1
"172",1992,"GOA",303,34,0.58,NA,1
"173",1992,"GOA",303,35,0.55,NA,1
"174",1992,"GOA",303,35,0.55,NA,1
"175",1992,"GOA",303,35,0.61,NA,1
"176",1992,"GOA",303,35,0.65,NA,1
"177",1992,"GOA",303,36,0.59,NA,1
"178",1992,"GOA",303,36,0.6,NA,1
"179",1992,"GOA",303,36,0.65,NA,1
"180",1992,"GOA",303,36,0.65,NA,1
"181",1992,"GOA",303,36,0.7,NA,1
"182",1992,"GOA",303,36,0.7,NA,1
"183",1992,"GOA",303,37,0.68,NA,1
"184",1992,"GOA",303,37,0.7,NA,1
"185",1992,"GOA",303,32,0.44,NA,1
"186",1992,"GOA",303,32,0.44,NA,1
"187",1992,"GOA",303,33,0.53,NA,1
"188",1992,"GOA",303,33,0.55,NA,1
"189",1992,"GOA",303,34,0.48,NA,1
"190",1992,"GOA",303,34,0.54,NA,1
"191",1992,"GOA",303,34,0.55,NA,1
"192",1992,"GOA",303,35,0.56,NA,1
"193",1992,"GOA",303,35,0.61,NA,1
"194",1992,"GOA",303,35,0.62,NA,1
"195",1992,"GOA",303,37,0.61,NA,1
"196",1992,"GOA",303,37,0.7,NA,1
"197",1992,"GOA",303,37,0.7,NA,1
"198",1992,"GOA",303,37,0.7,NA,1
"199",1992,"GOA",303,38,0.65,NA,1
"200",1992,"GOA",303,38,0.71,NA,1
"201",1992,"GOA",303,38,0.71,NA,1
"202",1992,"GOA",303,38,0.75,NA,1
"203",1992,"GOA",303,38,0.78,NA,1
"204",1992,"GOA",303,39,0.75,NA,1
"205",1992,"GOA",303,33,0.45,NA,1
"206",1992,"GOA",303,33,0.45,NA,1
"207",1992,"GOA",303,33,0.5,NA,1
"208",1992,"GOA",303,34,0.5,NA,1
"209",1992,"GOA",303,34,0.52,NA,1
"210",1992,"GOA",303,34,0.55,NA,1
"211",1992,"GOA",303,34,0.6,NA,1
"212",1992,"GOA",303,35,0.54,NA,1
"213",1992,"GOA",303,35,0.65,NA,1
"214",1992,"GOA",303,35,0.65,NA,1
"215",1992,"GOA",303,35,0.68,NA,1
"216",1992,"GOA",303,36,0.6,NA,1
"217",1992,"GOA",303,36,0.62,NA,1
"218",1992,"GOA",303,36,0.65,NA,1
"219",1992,"GOA",303,36,0.75,NA,1
"220",1992,"GOA",303,37,0.65,NA,1
"221",1992,"GOA",303,38,0.7,NA,1
"222",1992,"GOA",303,39,0.9,NA,1
"223",1993,"GOA",303,34,0.6,NA,1
"224",1993,"GOA",303,38,0.8,NA,1
"225",1993,"GOA",303,38,0.8,NA,1
"226",1993,"GOA",303,38,0.95,NA,1
"227",1993,"GOA",303,39,0.85,NA,1
"228",1993,"GOA",303,40,0.95,NA,1
"229",1993,"GOA",303,40,1.05,NA,1
"230",1993,"GOA",303,41,1.05,NA,1
"231",1993,"GOA",303,41,1.1,NA,1
"232",1993,"GOA",303,32,0.45,NA,1
"233",1993,"GOA",303,34,0.5,NA,1
"234",1993,"GOA",303,35,0.6,NA,1
"235",1993,"GOA",303,35,0.6,NA,1
"236",1993,"GOA",303,36,0.6,NA,1
"237",1993,"GOA",303,36,0.65,NA,1
"238",1993,"GOA",303,36,0.75,NA,1
"239",1993,"GOA",303,37,0.75,NA,1
"240",1993,"GOA",303,40,0.85,NA,1
"241",1993,"GOA",303,40,0.85,NA,1
"242",1993,"GOA",303,31,0.45,NA,1
"243",1993,"GOA",303,31,0.45,NA,1
"244",1993,"GOA",303,31,0.45,NA,1
"245",1993,"GOA",303,32,0.4,NA,1
"246",1993,"GOA",303,32,0.45,NA,1
"247",1993,"GOA",303,32,0.5,NA,1
"248",1993,"GOA",303,35,0.6,NA,1
"249",1993,"GOA",303,38,0.8,NA,1
"250",1993,"GOA",303,39,0.8,NA,1
"251",1993,"GOA",303,41,0.95,NA,1
"252",1993,"GOA",303,30,0.4,NA,1
"253",1993,"GOA",303,31,0.4,NA,1
"254",1993,"GOA",303,32,0.45,NA,1
"255",1993,"GOA",303,33,0.45,NA,1
"256",1993,"GOA",303,33,0.5,NA,1
"257",1993,"GOA",303,34,0.55,NA,1
"258",1993,"GOA",303,35,0.65,NA,1
"259",1993,"GOA",303,36,0.65,NA,1
"260",1993,"GOA",303,37,0.7,NA,1
"261",1993,"GOA",303,38,0.8,NA,1
"262",1993,"GOA",303,30,0.4,NA,1
"263",1993,"GOA",303,31,0.4,NA,1
"264",1993,"GOA",303,32,0.5,NA,1
"265",1993,"GOA",303,33,0.55,NA,1
"266",1993,"GOA",303,33,0.55,NA,1
"267",1993,"GOA",303,35,0.65,NA,1
"268",1993,"GOA",303,36,0.7,NA,1
"269",1993,"GOA",303,36,0.75,NA,1
"270",1993,"GOA",303,37,0.75,NA,1
"271",1993,"GOA",303,38,0.8,NA,1
"272",1993,"GOA",303,33,0.55,NA,1
"273",1993,"GOA",303,26,0.2,NA,1
"274",1993,"GOA",303,34,0.6,NA,1
"275",1993,"GOA",303,39,0.9,NA,1
"276",1993,"GOA",303,40,0.85,NA,1
"277",1993,"GOA",303,40,0.9,NA,1
"278",1993,"GOA",303,40,0.9,NA,1
"279",1993,"GOA",303,41,0.9,NA,1
"280",1993,"GOA",303,41,0.95,NA,1
"281",1993,"GOA",303,42,1,NA,1
"282",1993,"GOA",303,43,1.15,NA,1
"283",1993,"GOA",303,39,0.8,NA,1
"284",1993,"GOA",303,39,0.85,NA,1
"285",1993,"GOA",303,40,0.85,NA,1
"286",1993,"GOA",303,41,0.95,NA,1
"287",1993,"GOA",303,41,0.95,NA,1
"288",1993,"GOA",303,41,1.05,NA,1
"289",1993,"GOA",303,42,0.95,NA,1
"290",1993,"GOA",303,42,1.05,NA,1
"291",1993,"GOA",303,43,1.05,NA,1
"292",1993,"GOA",303,43,1.15,NA,1
"293",1993,"GOA",303,30,0.35,NA,1
"294",1993,"GOA",303,31,0.4,NA,1
"295",1993,"GOA",303,32,0.45,NA,1
"296",1993,"GOA",303,32,0.5,NA,1
"297",1993,"GOA",303,33,0.5,NA,1
"298",1993,"GOA",303,34,0.5,NA,1
"299",1993,"GOA",303,34,0.55,NA,1
"300",1993,"GOA",303,34,0.55,NA,1
"301",1993,"GOA",303,35,0.55,NA,1
"302",1993,"GOA",303,35,0.6,NA,1
"303",1993,"GOA",303,36,0.6,NA,1
"304",1993,"GOA",303,36,0.6,NA,1
"305",1993,"GOA",303,36,0.6,NA,1
"306",1993,"GOA",303,37,0.65,NA,1
"307",1993,"GOA",303,37,0.7,NA,1
"308",1993,"GOA",303,37,0.7,NA,1
"309",1993,"GOA",303,38,0.7,NA,1
"310",1993,"GOA",303,38,0.75,NA,1
"311",1993,"GOA",303,39,0.75,NA,1
"312",1993,"GOA",303,31,0.4,NA,1
"313",1993,"GOA",303,33,0.55,NA,1
"314",1993,"GOA",303,34,0.6,NA,1
"315",1993,"GOA",303,35,0.6,NA,1
"316",1993,"GOA",303,35,0.65,NA,1
"317",1993,"GOA",303,36,0.7,NA,1
"318",1993,"GOA",303,37,0.7,NA,1
"319",1993,"GOA",303,37,0.75,NA,1
"320",1993,"GOA",303,38,0.75,NA,1
"321",1993,"GOA",303,38,0.8,NA,1
"322",1994,"GOA",303,29,0.39,NA,1
"323",1994,"GOA",303,41,1.05,NA,1
"324",1994,"GOA",303,28,0.36,NA,1
"325",1994,"GOA",303,29,0.38,NA,1
"326",1994,"GOA",303,39,0.87,NA,1
"327",1994,"GOA",303,41,0.95,NA,1
"328",1994,"GOA",303,28,0.38,NA,1
"329",1994,"GOA",303,29,0.4,NA,1
"330",1994,"GOA",303,29,0.41,NA,1
"331",1994,"GOA",303,27,0.34,NA,1
"332",1994,"GOA",303,29,0.35,NA,1
"333",1994,"GOA",303,28,0.34,NA,1
"334",1994,"GOA",303,29,0.39,NA,1
"335",1994,"GOA",303,29,0.43,NA,1
"336",1994,"GOA",303,30,0.39,NA,1
"337",1994,"GOA",303,30,0.47,NA,1
"338",1994,"GOA",303,30,0.48,NA,1
"339",1994,"GOA",303,31,0.38,NA,1
"340",1994,"GOA",303,31,0.45,NA,1
"341",1994,"GOA",303,27,0.3,NA,1
"342",1994,"GOA",303,30,0.44,NA,1
"343",1994,"GOA",303,30,0.46,NA,1
"344",1994,"GOA",303,30,0.48,NA,1
"345",1994,"GOA",303,27,0.3,NA,1
"346",1994,"GOA",303,41,1.11,NA,1
"347",1994,"GOA",303,27,0.3,NA,1
"348",1994,"GOA",303,28,0.33,NA,1
"349",1994,"GOA",303,28,0.38,NA,1
"350",1994,"GOA",303,40,0.97,NA,1
"351",1994,"GOA",303,31,0.44,NA,4
"352",1994,"GOA",303,31,0.44,NA,4
"353",1994,"GOA",303,32,0.44,NA,4
"354",1994,"GOA",303,32,0.45,NA,4
"355",1994,"GOA",303,32,0.5,NA,4
"356",1994,"GOA",303,32,0.5,NA,4
"357",1994,"GOA",303,33,0.53,NA,4
"358",1994,"GOA",303,40,0.81,NA,4
"359",1994,"GOA",303,40,0.9,NA,4
"360",1994,"GOA",303,30,0.41,NA,1
"361",1994,"GOA",303,30,0.42,NA,1
"362",1994,"GOA",303,30,0.48,NA,1
"363",1994,"GOA",303,31,0.44,NA,1
"364",1994,"GOA",303,28,0.4,NA,1
"365",1994,"GOA",303,29,0.41,NA,1
"366",1994,"GOA",303,30,0.43,NA,1
"367",1994,"GOA",303,39,1,NA,1
"368",1994,"GOA",303,40,0.85,NA,1
"369",1994,"GOA",303,42,0.99,NA,1
"370",1994,"GOA",303,31,0.41,NA,1
"371",1994,"GOA",303,32,0.46,NA,1
"372",1994,"GOA",303,32,0.46,NA,1
"373",1994,"GOA",303,32,0.46,NA,1
"374",1994,"GOA",303,32,0.48,NA,1
"375",1994,"GOA",303,39,0.84,NA,1
"376",1994,"GOA",303,28,0.23,NA,1
"377",1994,"GOA",303,31,0.45,NA,1
"378",1994,"GOA",303,31,0.5,NA,1
"379",1994,"GOA",303,32,0.49,NA,1
"380",1994,"GOA",303,33,0.45,NA,1
"381",1994,"GOA",303,33,0.54,NA,1
"382",1994,"GOA",303,33,0.57,NA,1
"383",1994,"GOA",303,31,0.37,NA,1
"384",1994,"GOA",303,33,0.53,NA,1
"385",1994,"GOA",303,33,0.53,NA,1
"386",1994,"GOA",303,33,0.55,NA,1
"387",1994,"GOA",303,34,0.58,NA,1
"388",1994,"GOA",303,34,0.6,NA,1
"389",1994,"GOA",303,39,0.8,NA,1
"390",1994,"GOA",303,39,0.89,NA,1
"391",1994,"GOA",303,39,0.9,NA,1
"392",1994,"GOA",303,39,0.92,NA,1
"393",1994,"GOA",303,40,0.94,NA,1
"394",1994,"GOA",303,40,1,NA,1
"395",1994,"GOA",303,40,1.2,NA,1
"396",1994,"GOA",303,33,0.61,NA,4
"397",1994,"GOA",303,34,0.56,NA,4
"398",1994,"GOA",303,34,0.58,NA,4
"399",1994,"GOA",303,34,0.59,NA,4
"400",1994,"GOA",303,35,0.6,NA,4
"401",1994,"GOA",303,35,0.64,NA,4
"402",1994,"GOA",303,35,0.68,NA,4
"403",1994,"GOA",303,36,0.64,NA,4
"404",1994,"GOA",303,36,0.67,NA,4
"405",1994,"GOA",303,36,0.69,NA,4
"406",1994,"GOA",303,37,0.65,NA,4
"407",1994,"GOA",303,37,0.69,NA,4
"408",1994,"GOA",303,37,0.76,NA,4
"409",1994,"GOA",303,37,0.77,NA,4
"410",1994,"GOA",303,37,0.83,NA,4
"411",1994,"GOA",303,38,0.7,NA,4
"412",1994,"GOA",303,38,0.76,NA,4
"413",1994,"GOA",303,38,0.8,NA,4
"414",1994,"GOA",303,38,0.84,NA,4
"415",1994,"GOA",303,39,0.89,NA,4
"416",1994,"GOA",303,31,0.36,NA,3
"417",1994,"GOA",303,33,0.52,NA,3
"418",1994,"GOA",303,40,0.85,NA,3
"419",1994,"GOA",303,32,0.48,NA,1
"420",1994,"GOA",303,33,0.5,NA,1
"421",1994,"GOA",303,34,0.62,NA,1
"422",1994,"GOA",303,35,0.6,NA,1
"423",1994,"GOA",303,35,0.63,NA,1
"424",1994,"GOA",303,35,0.64,NA,1
"425",1994,"GOA",303,35,0.66,NA,1
"426",1994,"GOA",303,35,0.67,NA,1
"427",1994,"GOA",303,35,0.72,NA,1
"428",1994,"GOA",303,36,0.61,NA,1
"429",1994,"GOA",303,36,0.62,NA,1
"430",1994,"GOA",303,36,0.64,NA,1
"431",1994,"GOA",303,36,0.66,NA,1
"432",1994,"GOA",303,36,0.68,NA,1
"433",1994,"GOA",303,36,0.7,NA,1
"434",1994,"GOA",303,36,0.72,NA,1
"435",1994,"GOA",303,37,0.67,NA,1
"436",1994,"GOA",303,37,0.72,NA,1
"437",1994,"GOA",303,37,0.76,NA,1
"438",1994,"GOA",303,38,0.86,NA,1
"439",1994,"GOA",303,33,0.51,NA,1
"440",1994,"GOA",303,34,0.53,NA,1
"441",1994,"GOA",303,34,0.54,NA,1
"442",1994,"GOA",303,34,0.55,NA,1
"443",1994,"GOA",303,34,0.64,NA,1
"444",1994,"GOA",303,37,0.75,NA,1
"445",1994,"GOA",303,37,0.79,NA,1
"446",1994,"GOA",303,38,0.74,NA,1
"447",1994,"GOA",303,38,0.81,NA,1
"448",1994,"GOA",303,38,0.85,NA,1
"449",1994,"GOA",303,38,0.85,NA,1
"450",1994,"GOA",303,38,0.88,NA,1
"451",1994,"GOA",303,39,0.8,NA,1
"452",1994,"GOA",303,39,0.82,NA,1
"453",1994,"GOA",303,39,0.87,NA,1
"454",1994,"GOA",303,39,0.9,NA,1
"455",1995,"GOA",303,36,0.65,NA,NA
"456",1995,"GOA",303,36,0.65,NA,NA
"457",1995,"GOA",303,36,0.7,NA,NA
"458",1995,"GOA",303,36,0.7,NA,NA
"459",1995,"GOA",303,36,0.7,NA,NA
"460",1995,"GOA",303,36,0.7,NA,NA
"461",1995,"GOA",303,36,0.7,NA,NA
"462",1995,"GOA",303,36,0.7,NA,NA
"463",1995,"GOA",303,36,0.7,NA,NA
"464",1995,"GOA",303,36,0.7,NA,NA
"465",1995,"GOA",303,37,0.6,NA,NA
"466",1995,"GOA",303,37,0.65,NA,NA
"467",1995,"GOA",303,37,0.7,NA,NA
"468",1995,"GOA",303,37,0.7,NA,NA
"469",1995,"GOA",303,37,0.7,NA,NA
"470",1995,"GOA",303,37,0.7,NA,NA
"471",1995,"GOA",303,37,0.7,NA,NA
"472",1995,"GOA",303,37,0.7,NA,NA
"473",1995,"GOA",303,37,0.75,NA,NA
"474",1995,"GOA",303,37,0.75,NA,NA
"475",1995,"GOA",303,38,0.7,NA,NA
"476",1995,"GOA",303,38,0.75,NA,NA
"477",1995,"GOA",303,38,0.75,NA,NA
"478",1995,"GOA",303,38,0.8,NA,NA
"479",1995,"GOA",303,38,0.8,NA,NA
"480",1995,"GOA",303,38,0.85,NA,NA
"481",1995,"GOA",303,38,0.85,NA,NA
"482",1995,"GOA",303,39,0.8,NA,NA
"483",1995,"GOA",303,39,0.85,NA,NA
"484",1995,"GOA",303,40,0.9,NA,NA
"485",1995,"GOA",303,41,0.95,NA,NA
"486",1995,"GOA",303,41,1.05,NA,NA
"487",1995,"GOA",303,30,0.4,NA,NA
"488",1995,"GOA",303,32,0.45,NA,NA
"489",1995,"GOA",303,33,0.5,NA,NA
"490",1995,"GOA",303,33,0.5,NA,NA
"491",1995,"GOA",303,33,0.5,NA,NA
"492",1995,"GOA",303,33,0.55,NA,NA
"493",1995,"GOA",303,33,0.55,NA,NA
"494",1995,"GOA",303,34,0.5,NA,NA
"495",1995,"GOA",303,34,0.5,NA,NA
"496",1995,"GOA",303,34,0.55,NA,NA
"497",1995,"GOA",303,34,0.55,NA,NA
"498",1995,"GOA",303,34,0.55,NA,NA
"499",1995,"GOA",303,34,0.55,NA,NA
"500",1995,"GOA",303,34,0.55,NA,NA
"501",1995,"GOA",303,34,0.55,NA,NA
"502",1995,"GOA",303,34,0.6,NA,NA
"503",1995,"GOA",303,34,0.6,NA,NA
"504",1995,"GOA",303,35,0.55,NA,NA
"505",1995,"GOA",303,35,0.55,NA,NA
"506",1995,"GOA",303,35,0.6,NA,NA
"507",1995,"GOA",303,35,0.6,NA,NA
"508",1995,"GOA",303,35,0.6,NA,NA
"509",1995,"GOA",303,35,0.6,NA,NA
"510",1995,"GOA",303,35,0.6,NA,NA
"511",1995,"GOA",303,35,0.6,NA,NA
"512",1995,"GOA",303,35,0.65,NA,NA
"513",1995,"GOA",303,35,0.65,NA,NA
"514",1995,"GOA",303,35,0.65,NA,NA
"515",1996,"GOA",303,34,0.61,NA,NA
"516",1996,"GOA",303,35,0.61,NA,NA
"517",1996,"GOA",303,35,0.62,NA,NA
"518",1996,"GOA",303,35,0.62,NA,NA
"519",1996,"GOA",303,35,0.65,NA,NA
"520",1996,"GOA",303,36,0.65,NA,NA
"521",1996,"GOA",303,36,0.67,NA,NA
"522",1996,"GOA",303,36,0.74,NA,NA
"523",1996,"GOA",303,36,0.81,NA,NA
"524",1996,"GOA",303,37,0.75,NA,NA
"525",1996,"GOA",303,37,0.75,NA,NA
"526",1996,"GOA",303,37,0.77,NA,NA
"527",1996,"GOA",303,37,0.78,NA,NA
"528",1996,"GOA",303,37,0.8,NA,NA
"529",1996,"GOA",303,37,0.81,NA,NA
"530",1996,"GOA",303,37,0.85,NA,NA
"531",1996,"GOA",303,38,0.75,NA,NA
"532",1996,"GOA",303,38,0.82,NA,NA
"533",1996,"GOA",303,38,0.84,NA,NA
"534",1996,"GOA",303,38,0.84,NA,NA
"535",1996,"GOA",303,38,0.84,NA,NA
"536",1996,"GOA",303,38,0.86,NA,NA
"537",1996,"GOA",303,38,0.91,NA,NA
"538",1996,"GOA",303,39,0.79,NA,NA
"539",1996,"GOA",303,39,0.8,NA,NA
"540",1996,"GOA",303,39,0.82,NA,NA
"541",1996,"GOA",303,39,0.85,NA,NA
"542",1996,"GOA",303,39,0.85,NA,NA
"543",1996,"GOA",303,39,0.85,NA,NA
"544",1996,"GOA",303,39,0.91,NA,NA
"545",1996,"GOA",303,39,1,NA,NA
"546",1996,"GOA",303,40,0.84,NA,NA
"547",1996,"GOA",303,40,0.88,NA,NA
"548",1996,"GOA",303,40,0.94,NA,NA
"549",1996,"GOA",303,40,0.94,NA,NA
"550",1996,"GOA",303,40,0.95,NA,NA
"551",1996,"GOA",303,40,0.96,NA,NA
"552",1996,"GOA",303,40,1,NA,NA
"553",1996,"GOA",303,40,1.03,NA,NA
"554",1996,"GOA",303,41,0.86,NA,NA
"555",1996,"GOA",303,41,0.96,NA,NA
"556",1996,"GOA",303,41,1.05,NA,NA
"557",1996,"GOA",303,42,0.87,NA,NA
"558",1996,"GOA",303,42,0.95,NA,NA
"559",1996,"GOA",303,42,1.16,NA,NA
"560",1996,"GOA",303,31,0.42,NA,NA
"561",1996,"GOA",303,32,0.5,NA,NA
"562",1996,"GOA",303,32,0.51,NA,NA
"563",1996,"GOA",303,33,0.6,NA,NA
"564",1996,"GOA",303,33,0.64,NA,NA
"565",1996,"GOA",303,34,0.62,NA,NA
"566",1996,"GOA",303,34,0.62,NA,NA
"567",1996,"GOA",303,34,0.62,NA,NA
"568",1996,"GOA",303,34,0.64,NA,NA
"569",1996,"GOA",303,35,0.61,NA,NA
"570",1996,"GOA",303,35,0.64,NA,NA
"571",1996,"GOA",303,35,0.66,NA,NA
"572",1996,"GOA",303,35,0.66,NA,NA
"573",1996,"GOA",303,35,0.67,NA,NA
"574",1996,"GOA",303,35,0.67,NA,NA
"575",1996,"GOA",303,36,0.69,NA,NA
